id	Foregut 2	Pharyngeal endoderm	Foregut 1	Midgut	Hindgut 2	Midgut/Hindgut	Hindgut 1	ExE endoderm
cell_109876	0.0014764881449027963	0.001489893361848674	0.0014276426445226555	0.0014272608173914918	0.0014330817356441538	0.0014476251626605503	0.0012602168706259153	2.532014664391063e-06
cell_109877	0.0003200883869585593	0.0002940032290092531	0.0004010152904544683	0.0004111487326517731	0.0004061522408460261	0.000376229119011857	0.0007408267419085314	0.00011117603668422667
cell_109885	0.0004058099950464219	0.0003763303805966662	0.0004960312588575286	0.0005082033693157219	0.0005033161309912407	0.00046924383162967137	0.0008813860497288278	0.0001354858075456724
cell_109913	0.00035407186471965517	0.00032487455990688074	0.0004416349213486681	0.0004550873780587141	0.0004515949251687276	0.00041715943095405397	0.0008287794504064339	0.0001218086001295043
cell_109915	0.0002686502376495965	0.0002435174903471665	0.00035286994502678107	0.0003585286162776029	0.0003506927400283852	0.00032284849535473275	0.0006725584585668744	0.00019569832902072677
cell_109919	0.0015738422824090653	0.001588864743615106	0.00151992896264922	0.0015192622198600535	0.001526025252441136	0.0015417736646063413	0.0013373929956764384	2.40535258879765e-06
cell_109964	0.001497493176405099	0.0015126853602326544	0.0014441750998937276	0.0014429957169346396	0.001449645348670573	0.0014652659773797285	0.0012633688004607218	1.968654681451761e-06
cell_109987	0.0016024790334749997	0.0016176664612795218	0.0015481385135555433	0.0015472371265260831	0.0015534702942336276	0.0015698310332242814	0.0013607504748913177	2.3971809465933057e-06
cell_110001	0.0013845750974328455	0.0013975622382719822	0.0013374990464232826	0.0013372733274734743	0.00134348058279156	0.0013568436764478848	0.0011815888916736864	2.3713017096303228e-06
cell_110022	0.0014809138604600352	0.001496083976721786	0.0014278029071554854	0.0014266296002091857	0.001433340356970916	0.0014487831530628343	0.0012488400843059149	1.817618572566379e-06
cell_110039	6.54174960600092e-06	5.530568837351826e-06	1.923545110703222e-05	1.2419823843728237e-05	7.945895487721728e-06	8.118229259241014e-06	1.4778110673552704e-05	0.011712348699620446
cell_110056	0.00026032378166347746	0.00023642111023989984	0.0003404499621727832	0.0003454346947057622	0.00033743929329343433	0.00031180391860336073	0.0006348134437252973	0.00040214213562414665
cell_110080	0.0015770156272184475	0.0015907144784964595	0.0015266116489483477	0.0015263496929880267	0.0015320411921560728	0.001547317587583943	0.0013521307201518292	3.0509349042834726e-06
cell_110094	0.00033987945334399496	0.00031444186840347217	0.0004212564048556923	0.00042925078057911523	0.00042265682658512585	0.0003943569025921884	0.0007452943025636509	0.00011439055776913139
